         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      324    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        1    0.000    0.000    7.025    7.025 subprocess.py:1370(wait)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       20    0.000    0.000    0.000    0.000 random.py:808(random)
       60    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 latin_1.py:8(<module>)
       62    0.000    0.000    0.037    0.001 re.py:194(compile)
        1    0.000    0.000    0.000    0.000 subprocess.py:753(__del__)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:88(BaseRequest)
      170    0.000    0.000    0.000    0.000 {max}
      115    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 visitor.py:10(<module>)
       19    0.000    0.000    0.000    0.000 datastructures.py:51(setmethod)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:10(<module>)
      338    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:23(Markup)
        2    0.000    0.000    0.000    0.000 __init__.py:242(__init__)
       36    0.000    0.000    0.000    0.000 utils.py:60(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
       26    0.000    0.000    0.000    0.000 dyld.py:103(dyld_default_search)
        3    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.001    0.001 app.py:315(__init__)
       12    0.000    0.000    0.013    0.001 {map}
        1    0.000    0.000    0.000    0.000 exceptions.py:91(wrap)
        1    0.000    0.000    0.000    0.000 os.py:504(copy)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       30    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       94    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       27    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       49    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
